name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_cost
Community College of Aurora,Colorado,CO,Public,2,0.0,4887,4887,18747,18747,9774
Community College of Baltimore County,Maryland,MD,Public,2,0.0,4896,4896,11736,11736,9792
Community College of Beaver County,Pennsylvania,PA,Public,2,0.0,5970,5970,15390,15390,11940
Community College of Denver,Colorado,CO,Public,2,0.0,5757,5757,19617,19617,11514
Community College of Philadelphia,Pennsylvania,PA,Public,2,0.0,5448,5448,14712,14712,10896
Community College of Rhode Island,Rhode Island,RI,Public,2,0.0,4564,4564,12156,12156,9128
Community College of Vermont,Vermont,VT,Public,2,0.0,8190,8190,16230,16230,16380
Conception Seminary College,Missouri,MO,Private,4,13321.0,21526,34847,21526,34847,139388
Concord University,West Virginia,WV,Public,4,8988.0,7896,16884,17320,26308,67536
Concordia College,New York,NY,Private,4,12690.0,32900,45590,32900,45590,182360
Concordia College,Alabama,AL,Private,4,5700.0,10120,15820,10120,15820,63280
Concordia College: Moorhead,Minnesota,MN,Private,4,8230.0,39878,48108,39878,48108,192432
Concordia University,Michigan,MI,Private,4,10310.0,29320,39630,29320,39630,158520
Concordia University,Oregon,OR,Private,4,9520.0,30908,40428,30908,40428,161712
Concordia University,Nebraska,NE,Private,4,8470.0,32220,40690,32220,40690,162760
Concordia University Chicago,Illinois,IL,Private,4,9748.0,32078,41826,32078,41826,167304
Concordia University Irvine,California,CA,Private,4,11300.0,35400,46700,35400,46700,186800
Concordia University St. Paul,Minnesota,MN,Private,4,9000.0,22275,31275,22275,31275,125100
Concordia University Texas,Texas,TX,Private,4,11018.0,31810,42828,31810,42828,171312
Concordia University Wisconsin,Wisconsin,WI,Private,4,10860.0,29450,40310,29450,40310,161240
Connecticut College,Connecticut,CT,Private,4,15150.0,54820,69970,54820,69970,279880
Connors State College,Oklahoma,OK,Public,2,6032.0,4328,10360,9031,15063,20720
Conservatory of Music of Puerto Rico,,PR,Public,4,0.0,4000,4000,4000,4000,16000
Contra Costa College,California,CA,Public,2,0.0,1392,1392,9162,9162,2784
Converse College,South Carolina,SC,Private,4,10930.0,18690,29620,18690,29620,118480
Cooper Union for the Advancement of Science and Art,New York,NY,Private,4,16638.0,46700,63338,46700,63338,253352
Copiah-Lincoln Community College,Mississippi,MS,Public,2,3850.0,3180,7030,5180,9030,14060
Copper Mountain College,California,CA,Public,2,0.0,1388,1388,9120,9120,2776
Coppin State University,Maryland,MD,Public,4,10390.0,6625,17015,12896,23286,68060
Corban University,Oregon,OR,Private,4,10228.0,33040,43268,33040,43268,173072
Cornell College,Iowa,IA,Private,4,9384.0,42299,51683,42299,51683,206732
Cornell University,New York,NY,Private,4,14816.0,55188,70004,55188,70004,280016
Cornerstone University,Michigan,MI,Private,4,9300.0,24500,33800,24500,33800,135200
Corning Community College,New York,NY,Public,2,9600.0,5348,14948,10148,19748,29896
Cornish College of the Arts,Washington,WA,Private,4,12400.0,41642,54042,41642,54042,216168
Cossatot Community College of the University of Arkansas,Arkansas,AR,Public,2,0.0,3450,3450,4290,4290,6900
Cosumnes River College,California,CA,Public,2,0.0,1416,1416,9546,9546,2832
Cottey College,Missouri,MO,Private,4,7700.0,21150,28850,21150,28850,115400
County College of Morris,New Jersey,NJ,Public,2,0.0,4920,4920,12060,12060,9840
Covenant College,Georgia,GA,Private,4,10260.0,34330,44590,34330,44590,178360
Cowley County Community College,Kansas,KS,Public,2,5200.0,3000,8200,4710,9910,16400
Cox College,Missouri,MO,Private,4,0.0,15510,15510,15510,15510,62040
Crafton Hills College,California,CA,Public,2,0.0,1425,1425,10125,10125,2850
Craven Community College,North Carolina,NC,Public,2,0.0,2578,2578,8338,8338,5156
Creative Center,Nebraska,NE,For Profit,4,0.0,27700,27700,27700,27700,110800
Creighton University,Nebraska,NE,Private,4,11036.0,39916,50952,39916,50952,203808
Criswell College,Texas,TX,Private,4,0.0,13120,13120,13120,13120,52480
Crossroads Bible College,Indiana,IN,Private,4,0.0,12400,12400,12400,12400,49600
Crowder College,Missouri,MO,Public,2,5564.0,3540,9104,5040,10604,18208
Crowley's Ridge College,Arkansas,AR,Private,2,6350.0,13000,19350,13000,19350,38700
Crown College,Minnesota,MN,Private,4,8660.0,26200,34860,26200,34860,139440
Cuesta College,California,CA,Public,2,0.0,1418,1418,9158,9158,2836
Culinary Institute LeNotre,Texas,TX,For Profit,2,0.0,15828,15828,15828,15828,31656
Culinary Institute of America,New York,NY,Private,4,11560.0,32720,44280,32720,44280,177120
Culver-Stockton College,Missouri,MO,Private,4,8520.0,26680,35200,26680,35200,140800
Cumberland County College,New Jersey,NJ,Public,2,0.0,4500,4500,8700,8700,9000
Cumberland University,Tennessee,TN,Private,4,9290.0,22890,32180,22890,32180,128720
Curry College,Massachusetts,MA,Private,4,15885.0,39720,55605,39720,55605,222420
Cuyahoga Community College,Ohio,OH,Public,2,0.0,3436,3436,8136,8136,6872
Cuyamaca College,California,CA,Public,2,0.0,1428,1428,9168,9168,2856
Cypress College,California,CA,Public,2,0.0,1414,1414,9154,9154,2828
D'Youville College,New York,NY,Private,4,12224.0,26750,38974,26750,38974,155896
Dabney S. Lancaster Community College,Virginia,VA,Public,2,0.0,4710,4710,10008,10008,9420
Daemen College,New York,NY,Private,4,12915.0,28580,41495,28580,41495,165980
Dakota College at Bottineau,North Dakota,ND,Public,2,7210.0,4568,11778,6444,13654,23556
Dakota County Technical College,Minnesota,MN,Public,2,0.0,5712,5712,5712,5712,11424
Dakota State University,South Dakota,SD,Public,4,6873.0,9276,16149,12249,19122,64596
Dakota Wesleyan University,South Dakota,SD,Private,4,7350.0,27300,34650,27300,34650,138600
Dallas Baptist University,Texas,TX,Private,4,7992.0,28870,36862,28870,36862,147448
Dallas Christian College,Texas,TX,Private,4,9010.0,17620,26630,17620,26630,106520
Dallas Institute of Funeral Service,Texas,TX,Private,2,0.0,11870,11870,11870,11870,23740
Dalton State College,Georgia,GA,Public,4,8950.0,4246,13196,12668,21618,52784
Danville Area Community College,Illinois,IL,Public,2,0.0,4650,4650,7950,7950,9300
Danville Community College,Virginia,VA,Public,2,0.0,4710,4710,10008,10008,9420
Dartmouth College,New Hampshire,NH,Private,4,15756.0,55453,71209,55453,71209,284836
Davenport University,Michigan,MI,Private,4,9928.0,22800,32728,22800,32728,130912
Davidson College,North Carolina,NC,Private,4,14372.0,51447,65819,51447,65819,263276
Davidson County Community College,North Carolina,NC,Public,2,0.0,2435,2435,8195,8195,4870
Davis and Elkins College,West Virginia,WV,Private,4,9450.0,29390,38840,29390,38840,155360
Davis College,New York,NY,Private,4,8100.0,17150,25250,17150,25250,101000
Dawson Community College,Montana,MT,Public,2,6075.0,3720,9795,7770,13845,19590
Daytona State College,Florida,FL,Public,2,0.0,3109,3109,11998,11998,6218
De Anza College,California,CA,Public,2,0.0,1515,1515,8940,8940,3030
Dean College,Massachusetts,MA,Private,2,16836.0,39734,56570,39734,56570,113140
Defiance College,Ohio,OH,Private,4,10220.0,32730,42950,32730,42950,171800
Del Mar College,Texas,TX,Public,2,0.0,3170,3170,5780,5780,6340
Delaware College of Art and Design,Delaware,DE,Private,2,12450.0,25395,37845,25395,37845,75690
Delaware County Community College,Pennsylvania,PA,Public,2,0.0,5960,5960,13400,13400,11920
Delaware State University,Delaware,DE,Public,4,12190.0,7868,20058,16904,29094,80232
Delaware Technical Community College: Jack F. Owens Campus,Delaware,DE,Public,2,0.0,4855,4855,11583,11583,9710
Delaware Technical Community College: Stanton/Wilmington Campus,Delaware,DE,Public,2,0.0,4855,4855,11583,11583,9710
Delaware Technical Community College: Terry Campus,Delaware,DE,Public,2,0.0,4855,4855,11583,11583,9710
Delaware Valley University,Pennsylvania,PA,Private,4,14340.0,39440,53780,39440,53780,215120
Delgado Community College,Louisiana,LA,Public,2,0.0,4079,4079,5154,5154,8158
Delta College,Michigan,MI,Public,2,0.0,3400,3400,10870,10870,6800
Delta State University,Mississippi,MS,Public,4,7722.0,7246,14968,7246,14968,59872
Denison University,Ohio,OH,Private,4,12710.0,51960,64670,51960,64670,258680
Denmark Technical College,South Carolina,SC,Public,2,4024.0,5400,9424,9150,13174,18848
DePaul University,Illinois,IL,Private,4,14235.0,39975,54210,39975,54210,216840
DePauw University,Indiana,IN,Private,4,13020.0,49704,62724,49704,62724,250896
Des Moines Area Community College,Iowa,IA,Public,2,7302.0,4710,12012,9420,16722,24024
DeSales University,Pennsylvania,PA,Private,4,12800.0,37600,50400,37600,50400,201600
Design Institute of San Diego,California,CA,For Profit,4,0.0,23860,23860,23860,23860,95440
Diablo Valley College,California,CA,Public,2,0.0,1390,1390,9160,9160,2780
Dickinson College,Pennsylvania,PA,Private,4,13698.0,54661,68359,54661,68359,273436
Dickinson State University,North Dakota,ND,Public,4,6898.0,6765,13663,9544,16442,54652
DigiPen Institute of Technology,Washington,WA,For Profit,4,0.0,30350,30350,30350,30350,121400
Dillard University,Louisiana,LA,Private,4,10100.0,18099,28199,18099,28199,112796
Dine College,Arizona,AZ,Public,2,4610.0,1410,6020,1410,6020,12040
Divine Word College,Iowa,IA,Private,4,3700.0,13485,17185,13485,17185,68740
Dixie State University,Utah,UT,Public,4,6328.0,5253,11581,15051,21379,46324
Doane University,Nebraska,NE,Private,4,9400.0,33800,43200,33800,43200,172800
Dodge City Community College,Kansas,KS,Public,2,6650.0,2840,9490,3680,10330,18980
Dominican College of Blauvelt,New York,NY,Private,4,13150.0,29000,42150,29000,42150,168600
Dominican University,Illinois,IL,Private,4,10241.0,33434,43675,33434,43675,174700
Dominican University of California,California,CA,Private,4,14810.0,45850,60660,45850,60660,242640
Dona Ana Community College of New Mexico State University,New Mexico,NM,Public,2,0.0,1776,1776,5664,5664,3552
Donnelly College,Kansas,KS,Private,2,0.0,9000,9000,9000,9000,18000
Dordt College,Iowa,IA,Private,4,9590.0,30870,40460,30870,40460,161840
Drake University,Iowa,IA,Private,4,10528.0,41396,51924,41396,51924,207696
Drew University,New Jersey,NJ,Private,4,14108.0,39500,53608,39500,53608,214432
Drexel University,Pennsylvania,PA,Private,4,14079.0,53279,67358,53279,67358,269432
Drury University,Missouri,MO,Private,4,8096.0,28365,36461,28365,36461,145844
Duke University,North Carolina,NC,Private,4,15178.0,55695,70873,55695,70873,283492
Duquesne University,Pennsylvania,PA,Private,4,12586.0,38178,50764,38178,50764,203056
Durham Technical Community College,North Carolina,NC,Public,2,0.0,2372,2372,8132,8132,4744
Dutchess Community College,New York,NY,Public,2,11518.0,4404,15922,8268,19786,31844
Dyersburg State Community College,Tennessee,TN,Public,2,0.0,4235,4235,16523,16523,8470
Earlham College,Indiana,IN,Private,4,10400.0,46450,56850,46450,56850,227400
East Arkansas Community College,Arkansas,AR,Public,2,0.0,2880,2880,3720,3720,5760
East Carolina University,North Carolina,NC,Public,4,9606.0,7188,16794,23465,33071,67176
East Central College,Missouri,MO,Public,2,0.0,3240,3240,6120,6120,6480
East Central Community College,Mississippi,MS,Public,2,3830.0,2870,6700,4970,8800,13400
East Central University,Oklahoma,OK,Public,4,5514.0,6810,12324,17700,23214,49296
East Georgia State College,Georgia,GA,Public,2,9084.0,3666,12750,11412,20496,25500
East Los Angeles College,California,CA,Public,2,0.0,1404,1404,8934,8934,2808
East Mississippi Community College,Mississippi,MS,Public,2,4800.0,3440,8240,6440,11240,16480
East Stroudsburg University of Pennsylvania,Pennsylvania,PA,Public,4,9700.0,11084,20784,23516,33216,83136
East Tennessee State University,Tennessee,TN,Public,4,8472.0,9277,17749,28459,36931,70996
East Texas Baptist University,Texas,TX,Private,4,9079.0,26370,35449,26370,35449,141796
East-West University,Illinois,IL,Private,4,0.0,20970,20970,20970,20970,83880
Eastern Arizona College,Arizona,AZ,Public,2,6790.0,2700,9490,8700,15490,18980
Eastern Connecticut State University,Connecticut,CT,Public,4,13560.0,11356,24916,22596,36156,99664
Eastern Florida State College,Florida,FL,Public,2,0.0,3140,3140,12193,12193,6280
Eastern Gateway Community College,Ohio,OH,Public,2,0.0,4040,4040,7280,7280,8080
Eastern Illinois University,Illinois,IL,Public,4,9882.0,11803,21685,14023,23905,86740
Eastern International College,New Jersey,NJ,For Profit,2,0.0,9000,9000,9000,9000,18000
Eastern Kentucky University,Kentucky,KY,Public,4,9018.0,9296,18314,19074,28092,73256
Eastern Maine Community College,Maine,ME,Public,2,8930.0,3816,12746,6636,15566,25492
Eastern Mennonite University,Virginia,VA,Private,4,11160.0,37100,48260,37100,48260,193040
Eastern Michigan University,Michigan,MI,Public,4,9854.0,13959,23813,13959,23813,95252
Eastern Nazarene College,Massachusetts,MA,Private,4,9624.0,25598,35222,25598,35222,140888
Eastern New Mexico University,New Mexico,NM,Public,4,7162.0,6206,13368,8128,15290,53472
Eastern New Mexico University: Roswell,New Mexico,NM,Public,2,0.0,2256,2256,5616,5616,4512
Eastern Oklahoma State College,Oklahoma,OK,Public,2,5777.0,4697,10474,8314,14091,20948
Eastern Oregon University,Oregon,OR,Public,4,10040.0,8679,18719,20739,30779,74876
Eastern Shore Community College,Virginia,VA,Public,2,0.0,4800,4800,10728,10728,9600
Eastern University,Pennsylvania,PA,Private,4,11254.0,33122,44376,33122,44376,177504
Eastern Washington University,Washington,WA,Public,4,12793.0,7323,20116,24444,37237,80464
Eastern West Virginia Community and Technical College,West Virginia,WV,Public,2,0.0,5160,5160,8651,8651,10320
Eastern Wyoming College,Wyoming,WY,Public,2,6320.0,3096,9416,7608,13928,18832
Eastfield College,Texas,TX,Public,2,0.0,1770,1770,5220,5220,3540
Eastman School of Music of the University of Rochester,New York,NY,Private,4,15862.0,54584,70446,54584,70446,281784
Ecclesia College,Arkansas,AR,Private,4,5810.0,15140,20950,15140,20950,83800
Eckerd College,Florida,FL,Private,4,12588.0,44540,57128,44540,57128,228512
ECPI University,Virginia,VA,For Profit,4,0.0,16764,16764,16764,16764,67056
Edgecombe Community College,North Carolina,NC,Public,2,0.0,2757,2757,8901,8901,5514
Edgewood College,Wisconsin,WI,Private,4,11020.0,29500,40520,29500,40520,162080
EDIC College,,PR,For Profit,2,0.0,7065,7065,7065,7065,14130
Edinboro University of Pennsylvania,Pennsylvania,PA,Public,4,9408.0,10543,19951,15062,24470,79804
Edison State Community College,Ohio,OH,Public,2,0.0,4699,4699,8608,8608,9398
Edmonds Community College,Washington,WA,Public,2,7400.0,4471,11871,4471,11871,23742
EDP University of Puerto Rico: San Sebastian,,PR,For Profit,4,0.0,5940,5940,5940,5940,23760
Edward Waters College,Florida,FL,Private,4,7282.0,13725,21007,13725,21007,84028
El Camino College,California,CA,Public,2,0.0,1419,1419,9519,9519,2838
El Centro College,Texas,TX,Public,2,0.0,1770,1770,5220,5220,3540
El Paso Community College,Texas,TX,Public,2,0.0,3540,3540,6060,6060,7080
Elgin Community College,Illinois,IL,Public,2,0.0,3972,3972,14946,14946,7944
Elizabeth City State University,North Carolina,NC,Public,4,8840.0,3194,12034,7194,16034,48136
Elizabethtown College,Pennsylvania,PA,Private,4,11370.0,46940,58310,46940,58310,233240
Elizabethtown Community and Technical College,Kentucky,KY,Public,2,0.0,5310,5310,18000,18000,10620
Ellsworth Community College,Iowa,IA,Public,2,5970.0,5970,11940,7140,13110,23880
Elmhurst College,Illinois,IL,Private,4,10366.0,37055,47421,37055,47421,189684
Elmira Business Institute,New York,NY,For Profit,2,0.0,14850,14850,14850,14850,29700
Elmira Business Institute: Vestal,New York,NY,For Profit,2,0.0,14850,14850,14850,14850,29700
Elmira College,New York,NY,Private,4,12000.0,41900,53900,41900,53900,215600
Elms College,Massachusetts,MA,Private,4,13108.0,35788,48896,35788,48896,195584
Elon University,North Carolina,NC,Private,4,12230.0,35319,47549,35319,47549,190196
Embry-Riddle Aeronautical University: Daytona Beach Campus,Florida,FL,Private,4,11438.0,35814,47252,35814,47252,189008
Embry-Riddle Aeronautical University: Prescott Campus,Arizona,AZ,Private,4,11394.0,35654,47048,35654,47048,188192
Embry-Riddle Aeronautical University: Worldwide Campus,Florida,FL,Private,4,0.0,9360,9360,9360,9360,37440
Emerson College,Massachusetts,MA,Private,4,17690.0,46852,64542,46852,64542,258168
Emmanuel College,Georgia,GA,Private,4,8136.0,20292,28428,20292,28428,113712
Emmanuel College,Massachusetts,MA,Private,4,14994.0,39804,54798,39804,54798,219192
Emmaus Bible College,Iowa,IA,Private,4,8500.0,18400,26900,18400,26900,107600
Emory & Henry College,Virginia,VA,Private,4,12100.0,35135,47235,35135,47235,188940
Emory University,Georgia,GA,Private,4,14456.0,51306,65762,51306,65762,263048
Empire College,California,CA,For Profit,2,0.0,11070,11070,11070,11070,22140
Emporia State University,Kansas,KS,Public,4,8912.0,6758,15670,20675,29587,62680
Endicott College,Massachusetts,MA,Private,4,15726.0,33050,48776,33050,48776,195104
Enterprise State Community College,Alabama,AL,Public,2,0.0,4500,4500,8130,8130,9000
Erie Community College,New York,NY,Public,2,0.0,5686,5686,10586,10586,11372
Erskine College,South Carolina,SC,Private,4,10900.0,34560,45460,34560,45460,181840
Escuela de Artes Plasticas de Puerto Rico,,PR,Public,4,0.0,4002,4002,6702,6702,16008
Essex County College,New Jersey,NJ,Public,2,0.0,4995,4995,8790,8790,9990
Estrella Mountain Community College,Arizona,AZ,Public,2,0.0,2580,2580,9810,9810,5160
ETI Technical College of Niles,Ohio,OH,For Profit,2,0.0,10653,10653,10653,10653,21306
Eugene Lang College The New School for Liberal Arts,New York,NY,Private,4,18000.0,48191,66191,48191,66191,264764
Eureka College,Illinois,IL,Private,4,9620.0,25390,35010,25390,35010,140040
Evangel University,Missouri,MO,Private,4,8522.0,23296,31818,23296,31818,127272
Everett Community College,Washington,WA,Public,2,8500.0,4417,12917,4417,12917,25834
Everglades University,Florida,FL,Private,4,0.0,17145,17145,17145,17145,68580
Evergreen State College,Washington,WA,Public,4,11346.0,7949,19295,26459,37805,77180
Evergreen Valley College,California,CA,Public,2,0.0,1416,1416,8526,8526,2832
Fairfield University,Connecticut,CT,Private,4,14710.0,48350,63060,48350,63060,252240
Fairleigh Dickinson University: College at Florham,New Jersey,NJ,Private,4,13392.0,42618,56010,42618,56010,224040
Fairleigh Dickinson University: Metropolitan Campus,New Jersey,NJ,Private,4,13348.0,40236,53584,40236,53584,214336
Fairmont State University,West Virginia,WV,Public,4,9004.0,7514,16518,16324,25328,66072
Faith Baptist Bible College and Theological Seminary,Iowa,IA,Private,4,6800.0,16876,23676,16876,23676,94704
Family of Faith College,Oklahoma,OK,Private,4,2400.0,6400,8800,6400,8800,35200
Fashion Institute of Technology,New York,NY,Public,4,14480.0,5740,20220,15520,30000,80880
Faulkner University,Alabama,AL,Private,4,7750.0,21690,29440,21690,29440,117760
Fayetteville State University,North Carolina,NC,Public,4,8236.0,4915,13151,16523,24759,52604
Fayetteville Technical Community College,North Carolina,NC,Public,2,0.0,2392,2392,8152,8152,4784
Feather River College,California,CA,Public,2,5350.0,1461,6811,8511,13861,13622
Felician University,New Jersey,NJ,Private,4,12880.0,34315,47195,34315,47195,188780
Ferris State University,Michigan,MI,Public,4,9894.0,12630,22524,12630,22524,90096
Ferrum College,Virginia,VA,Private,4,11500.0,34175,45675,34175,45675,182700
Fiath International University,Washington,WA,Private,4,0.0,7650,7650,7650,7650,30600
Finger Lakes Community College,New York,NY,Public,2,9737.0,5158,14895,7450,17187,29790
Finlandia University,Michigan,MI,Private,4,8800.0,22758,31558,22758,31558,126232
Fisher College,Massachusetts,MA,Private,4,15926.0,31384,47310,31384,47310,189240
Fisk University,Tennessee,TN,Private,4,10790.0,21480,32270,21480,32270,129080
Fitchburg State University,Massachusetts,MA,Public,4,10922.0,10355,21277,16435,27357,85108
Five Towns College,New York,NY,For Profit,4,12820.0,21640,34460,21640,34460,137840
Flagler College,Florida,FL,Private,4,11340.0,18950,30290,18950,30290,121160
Flathead Valley Community College,Montana,MT,Public,2,0.0,4638,4638,11778,11778,9276
Florence-Darlington Technical College,South Carolina,SC,Public,2,0.0,5540,5540,8210,8210,11080
Florida Agricultural and Mechanical University,Florida,FL,Public,4,10594.0,5827,16421,17768,28362,65684
Florida Atlantic University,Florida,FL,Public,4,11896.0,6039,17935,21595,33491,71740
Florida College,Florida,FL,Private,4,8370.0,17142,25512,17142,25512,102048
Florida Gateway College,Florida,FL,Public,2,0.0,3100,3100,11747,11747,6200
Florida Gulf Coast University,Florida,FL,Public,4,10156.0,6118,16274,25162,35318,65096
Florida Institute of Technology,Florida,FL,Private,4,12880.0,41850,54730,41850,54730,218920
Florida International University,Florida,FL,Public,4,10882.0,6558,17440,18956,29838,69760
Florida Keys Community College,Florida,FL,Public,2,10200.0,3277,13477,13162,23362,26954
Florida Memorial University,Florida,FL,Private,4,7816.0,15536,23352,15536,23352,93408
Florida National University,Florida,FL,For Profit,2,0.0,13800,13800,13800,13800,27600
Florida Southern College,Florida,FL,Private,4,11650.0,36348,47998,36348,47998,191992
Florida SouthWestern State College,Florida,FL,Public,2,9000.0,3401,12401,13944,22944,24802
Florida State College at Jacksonville,Florida,FL,Public,2,0.0,3146,3146,12038,12038,6292
Florida State University,Florida,FL,Public,4,10816.0,6516,17332,21683,32499,69328
Folsom Lake College,California,CA,Public,2,0.0,1450,1450,9580,9580,2900
Fond du Lac Tribal and Community College,Minnesota,MN,Public,2,3598.0,5258,8856,5258,8856,17712
Fontbonne University,Missouri,MO,Private,4,10530.0,26340,36870,26340,36870,147480
Foothill College,California,CA,Public,2,0.0,1499,1499,9419,9419,2998
Fordham University,New York,NY,Private,4,17969.0,52687,70656,52687,70656,282624
Forrest Junior College,South Carolina,SC,For Profit,2,0.0,8700,8700,8700,8700,17400
Forsyth Technical Community College,North Carolina,NC,Public,2,0.0,2446,2446,8206,8206,4892
Fort Hays State University,Kansas,KS,Public,4,8300.0,5133,13433,15201,23501,53732
Fort Lewis College,Colorado,CO,Public,4,9878.0,9040,18918,19696,29574,75672
Fort Peck Community College,Montana,MT,Public,2,6075.0,2520,8595,2520,8595,17190
Fort Scott Community College,Kansas,KS,Public,2,5770.0,2880,8650,3330,9100,17300
Fort Valley State University,Georgia,GA,Public,4,8372.0,6664,15036,19740,28112,60144
Fox Valley Technical College,Wisconsin,WI,Public,2,0.0,4565,4565,6578,6578,9130
Framingham State University,Massachusetts,MA,Public,4,12306.0,10335,22641,16415,28721,90564
Francis Marion University,South Carolina,SC,Public,4,7948.0,11160,19108,21544,29492,76432
Franciscan University of Steubenville,Ohio,OH,Private,4,8500.0,27630,36130,27630,36130,144520
Frank Phillips College,Texas,TX,Public,2,5040.0,2838,7878,3850,8890,15756
Franklin & Marshall College,Pennsylvania,PA,Private,4,14050.0,56750,70800,56750,70800,283200
Franklin College,Indiana,IN,Private,4,9946.0,32010,41956,32010,41956,167824
Franklin Pierce University,New Hampshire,NH,Private,4,13345.0,36900,50245,36900,50245,200980
Franklin University,Ohio,OH,Private,4,0.0,15805,15805,15805,15805,63220
Franklin W. Olin College of Engineering,Massachusetts,MA,Private,4,16300.0,53736,70036,53736,70036,280144
Frederick Community College,Maryland,MD,Public,2,0.0,4457,4457,11627,11627,8914
Freed-Hardeman University,Tennessee,TN,Private,4,8260.0,21950,30210,21950,30210,120840
Fremont College,California,CA,For Profit,2,0.0,36400,36400,36400,36400,72800
Fresno City College,California,CA,Public,2,0.0,1420,1420,9160,9160,2840
Fresno Pacific University,California,CA,Private,4,8676.0,31452,40128,31452,40128,160512
Friends University,Kansas,KS,Private,4,7972.0,28415,36387,28415,36387,145548
Front Range Community College,Colorado,CO,Public,2,0.0,3986,3986,15074,15074,7972
Frostburg State University,Maryland,MD,Public,4,10202.0,9172,19374,22892,33094,77496
Fullerton College,California,CA,Public,2,0.0,1445,1445,9185,9185,2890
Fulton-Montgomery Community College,New York,NY,Public,2,11870.0,5460,17330,10060,21930,34660
Furman University,South Carolina,SC,Private,4,12712.0,49532,62244,49532,62244,248976
Gadsden State Community College,Alabama,AL,Public,2,3600.0,4800,8400,8430,12030,16800
Gallaudet University,,DC,Private,4,14100.0,17038,31138,17038,31138,124552
Galveston College,Texas,TX,Public,2,0.0,2050,2050,4600,4600,4100
Gannon University,Pennsylvania,PA,Private,4,12650.0,32136,44786,32136,44786,179144
Garden City Community College,Kansas,KS,Public,2,5450.0,3120,8570,3690,9140,17140
Gardner-Webb University,North Carolina,NC,Private,4,10390.0,31220,41610,31220,41610,166440
Garrett College,Maryland,MD,Public,2,8275.0,4380,12655,9870,18145,25310
Gaston College,North Carolina,NC,Public,2,0.0,2386,2386,8146,8146,4772
Gateway Community and Technical College,Kentucky,KY,Public,2,0.0,5350,5350,18040,18040,10700
Gateway Community College,Connecticut,CT,Public,2,0.0,4404,4404,13644,13644,8808
GateWay Community College,Arizona,AZ,Public,2,0.0,2580,2580,9810,9810,5160
Gateway Technical College,Wisconsin,WI,Public,2,0.0,4026,4026,6039,6039,8052
Gavilan College,California,CA,Public,2,0.0,1418,1418,8408,8408,2836
Genesee Community College,New York,NY,Public,2,8720.0,4640,13360,5240,13960,26720
Geneva College,Pennsylvania,PA,Private,4,10170.0,26730,36900,26730,36900,147600
George C. Wallace Community College at Dothan,Alabama,AL,Public,2,0.0,4680,4680,8550,8550,9360
George C. Wallace State Community College at Selma,Alabama,AL,Public,2,0.0,4440,4440,4440,4440,8880
George Fox University,Oregon,OR,Private,4,11250.0,36020,47270,36020,47270,189080
George Mason University,Virginia,VA,Public,4,11460.0,12462,23922,35922,47382,95688
George Washington University,,DC,Private,4,13850.0,55230,69080,55230,69080,276320
Georgetown College,Kentucky,KY,Private,4,9780.0,38650,48430,38650,48430,193720
Georgetown University,,DC,Private,4,16509.0,54104,70613,54104,70613,282452
Georgia College and State University,Georgia,GA,Public,4,11016.0,9346,20362,28060,39076,81448
Georgia Gwinnett College,Georgia,GA,Public,4,12870.0,6124,18994,18552,31422,75976
Georgia Highlands College,Georgia,GA,Public,2,0.0,3844,3844,11590,11590,7688
Georgia Institute of Technology,Georgia,GA,Public,4,11884.0,12424,24308,33020,44904,97232
Georgia Military College,Georgia,GA,Public,2,0.0,6120,6120,6120,6120,12240
Georgia Northwestern Technical College,Georgia,GA,Public,2,0.0,3460,3460,6258,6258,6920
Georgia Perimeter College,Georgia,GA,Public,2,0.0,3860,3860,11606,11606,7720
Georgia Piedmont Technical College,Georgia,GA,Public,2,0.0,3454,3454,6124,6124,6908
Georgia Southern University,Georgia,GA,Public,4,10070.0,7422,17492,20904,30974,69968
Georgia Southwestern State University,Georgia,GA,Public,4,8120.0,6336,14456,19412,27532,57824
Georgia State University,Georgia,GA,Public,4,11378.0,10858,22236,29432,40810,88944
Georgian Court University,New Jersey,NJ,Private,4,10808.0,32876,43684,32876,43684,174736
Germanna Community College,Virginia,VA,Public,2,0.0,4913,4913,10841,10841,9826
Gettysburg College,Pennsylvania,PA,Private,4,13010.0,54480,67490,54480,67490,269960
Glen Oaks Community College,Michigan,MI,Public,2,0.0,4440,4440,7350,7350,8880
Glendale Community College,California,CA,Public,2,0.0,1451,1451,8381,8381,2902
Glendale Community College,Arizona,AZ,Public,2,0.0,2580,2580,9840,9840,5160
Glenville State College,West Virginia,WV,Public,4,0.0,7327,7327,16565,16565,29308
Global University,Missouri,MO,Private,4,0.0,4770,4770,4770,4770,19080
God's Bible School and College,Ohio,OH,Private,4,0.0,4270,4270,4270,4270,17080
Goddard College,Vermont,VT,Private,4,1698.0,16586,18284,16586,18284,73136
Gogebic Community College,Michigan,MI,Public,2,5600.0,4924,10524,7373,12973,21048
Golden Gate University,California,CA,Private,4,0.0,15840,15840,15840,15840,63360
Golden West College,California,CA,Public,2,0.0,1452,1452,9552,9552,2904
Goldey-Beacom College,Delaware,DE,Private,4,6400.0,24300,30700,24300,30700,122800
